id=LAP001, quantity=43, price=800, discount=5
id=LAP002, quantity=72, price=1200, discount=8
id=LAP003, quantity=35, price=950, discount=3
id=LAP004, quantity=18, price=1500, discount=10
id=LAP005, quantity=65, price=700, discount=2
id=LAP006, quantity=49, price=1100, discount=6
id=LAP007, quantity=22, price=1300, discount=9
id=LAP008, quantity=55, price=1400, discount=4
id=LAP009, quantity=38, price=1250, discount=7
id=LAP010, quantity=91, price=600, discount=1
id=LAP011, quantity=44, price=900, discount=5
id=LAP012, quantity=12, price=2000, discount=10
id=LAP013, quantity=80, price=750, discount=2
id=LAP014, quantity=29, price=1050, discount=6
id=LAP015, quantity=16, price=1700, discount=8
